specimenID,GUID_triplet,GUID_url,latitude,longitude,putative_sex,Family,Latin_name,County,year_collected,Na,Mg,Al,P,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Cd,Pb,skull_length,skull_height,skull_width,total_length,tail_length,hindfoot,county_decade_pop,closest_pop,closest_pop_size_atTime,pop_type,distance_to_pop,county_area_m
1784,MMNH:Mamm:1784,https://arctos.database.museum/guid/MMNH:Mamm:1784,45.0167,-93.45,F,Muridae,Peromyscus leucopus,Hennepin,1938,2205.075922,430.5737897,326.2413463,3745.04225,5736.451031,624.2370899,0.69030246,1.460217253,3.045209533,98.02558729,0.515524259,3.762577661,32.2625974,91.91898625,40450.16859,1.229712564,0.740206843,50.98779216,15.7,8.31,12.08,162,70,20,568899,Plymouth,2989,City,798.7894575,1570587028
1385,MMNH:Mamm:1385,https://arctos.database.museum/guid/MMNH:Mamm:1385,44.8897,-93.3497,,Soricidae,Blarina brevicauda,Hennepin,1939,7164.672856,476.4852071,44.4002785,3603.387645,5095.869671,678.1193156,0.260030381,0.641068678,8.714622822,209.0355152,0.254614666,21.46720212,23.63761941,88.27418148,5938.741853,1.384591027,0.379211982,15.08706583,12.24,6.99,13.78,127,25.4,19,568899,Edina,5855,City,2.891688851,1570587028
1413,MMNH:Mamm:1413,https://arctos.database.museum/guid/MMNH:Mamm:1413,NA,NA,F,Vespertilionidae,Eptesicus fuscus,Hennepin,1940,6048.589023,703.0159156,302.6912638,1411.512629,2757.366051,3979.029484,1.71751064,6.437474604,25.65055666,826.7851053,0.644719147,11.84928497,252.3354437,189.955465,18702.80317,1.664859778,3.550658646,209.0858098,9.97,5.73,8.73,109,39.5,11,568899,,NA,,NA,1570587028
1876,MMNH:Mamm:1876,https://arctos.database.museum/guid/MMNH:Mamm:1876,44.98,-93.2636,,Sciuridae,Sciurus carolinensis,Hennepin,1943,6878.343365,434.0664262,18.51806168,2507.403266,2546.55219,424.8049172,0.239134654,0.802170948,4.170423659,61.77941329,0.054635,2.01241482,7.722802794,67.38034663,17621.41031,0.280813301,0.626210765,12.22713947,36.58,19.62,25.85,368.3007366,228.6004572,60.32512065,568899,Minneapolis,492370,City,0.78147244,1570587028
1971,MMNH:Mamm:1971,https://arctos.database.museum/guid/MMNH:Mamm:1971,44.98,-93.2636,M,Sciuridae,Sciurus carolinensis,Hennepin,1946,22015.06807,243.3691774,29.73813683,2786.858236,4546.226333,423.247346,0.112814438,0.59083588,2.712797302,78.53199351,0.054322796,1.230634087,6.966134822,60.73105742,1762.120585,0.326332356,0.284312602,13.29331212,34.46,18.89,25.34,400,180,60,676579,Minneapolis,521718,City,0.78147244,1570587028
1978,MMNH:Mamm:1978,https://arctos.database.museum/guid/MMNH:Mamm:1978,NA,NA,M,Vespertilionidae,Eptesicus fuscus,Hennepin,1946,6656.167816,249.0324151,70.94857773,1761.487991,3543.229158,873.210499,0.668564371,2.113986635,7.35381444,311.8072182,0.152144897,6.673494824,18.89133328,133.2195201,759.4974624,2.647302397,1.031136725,51.06717406,9.74,5.58,8.46,108,38,10,676579,,NA,,NA,1570587028
2633,MMNH:Mamm:2633,https://arctos.database.museum/guid/MMNH:Mamm:2633,45.0167,-93.45,M,Muridae,Peromyscus leucopus,Hennepin,1948,44392.5935,1141.008726,297.9913523,6648.579905,8618.827048,1955.661924,1.180886713,2.626623014,44.72438174,1552.784657,0.470823543,3.423424858,99.56264985,162.1521322,873.4527521,2.910319302,0.395095192,63.18941854,16.06,8.29,12.11,163,69,19,676579,Plymouth,5818,City,798.7894575,1570587028
3171,MMNH:Mamm:3171,https://arctos.database.museum/guid/MMNH:Mamm:3171,NA,NA,M,Vespertilionidae,Eptesicus fuscus,Hennepin,1951,21187.85193,1306.616191,172.9445273,2509.032082,4281.154403,2277.216313,2.86214064,3.171107291,19.47495821,569.2127003,0.884703166,2.854585108,31.4521327,247.1511388,154.3027742,3.871985473,2.409630382,148.7660346,9.89,5.37,8.57,113,41,12,676579,,NA,,NA,1570587028
3333,MMNH:Mamm:3333,https://arctos.database.museum/guid/MMNH:Mamm:3333,45.1734,-93.4256,M,Muridae,Peromyscus leucopus,Hennepin,1951,27072.71653,255.6367259,31.79069211,2173.047904,4280.552778,571.7910637,0.626406784,3.576889707,5.338960477,414.6403573,0.182609348,1.636755849,11.18791905,71.57824608,183.2684014,0.319917235,0.244863628,7.643329677,15.97,8.7,12.47,153,68,22,676579,Champlin,828,City,2816.701487,1570587028
3099,MMNH:Mamm:3099,https://arctos.database.museum/guid/MMNH:Mamm:3099,44.98,-93.2636,M,Sciuridae,Sciurus carolinensis,Hennepin,1952,21511.95331,174.3475816,13.34114031,2067.529292,3041.865406,252.8362366,0.096866026,0.99207949,1.96123947,213.0488658,0.07625967,3.9414952,11.90391292,42.47382648,234.7210396,0.281513558,1.288976878,5.069774528,35.42,18.91,24.89,425.4508509,203.2004064,63.500127,676579,Minneapolis,521718,City,0.78147244,1570587028
3864,MMNH:Mamm:3864,https://arctos.database.museum/guid/MMNH:Mamm:3864,44.9147,-93.2097,M,Sciuridae,Sciurus carolinensis,Hennepin,1956,15408.91764,94.55558628,8.218470134,2010.166699,3064.049843,233.2432803,<LOD,0.224855219,0.652454049,30.91762925,0.018324936,0.247582463,4.992290191,31.30376653,305.3717124,0.408950771,0.038035003,1.390789666,35.57,19.83,24.93,488.9509779,228.6004572,63.500127,842854,Unorganized Territory of Fort Snelling,NA,Unorganized,4090.475242,1570587028
